suburb,price
Glen Alpine,1171092.5925925926
Glenbrook,1534452.0
Glendenning,846341.8333333334
Glenfield,862758.7727272727
Glenmore Park,1013859.5636363636
Glenwood,1098344.0
Gordon,2205909.090909091
Gorokan,675731.7073170731
Gosford,1399166.6666666667
Granville,953357.1428571428
Grasmere,1917485.3684210526
Grays Point,1961818.4210526317
Green Point,1093453.7037037036
Green Valley,1058200.0
Greenacre,1303486.8421052631
Greenfield Park,1208666.6666666667
Greenhills Beach,2142333.3333333335
Greenwich,2389375.0
Gregory Hills,997510.8695652174
Greystanes,1139680.0
Guildford,1069738.0952380951
Guildford West,1070000.0
Gymea,1535277.7777777778
Gymea Bay,1654227.2727272727
Haberfield,2120000.0
Halekulani,525000.0
Hamlyn Terrace,795892.8571428572
Hammondville,1164000.0
Hardys Bay,1709100.0
Harrington Park,1454647.5
Harris Park,1546333.3333333333
Hawkesbury Heights,1057500.0
Haymarket,1794285.7142857143
Heckenberg,1075000.0
Henley,2121500.0
Hillsdale,1685000.0
Hinchinbrook,1003187.5
Hobartville,1000000.0
Holroyd,1105000.0
Homebush,1995605.2631578948
Homebush West,1428777.7777777778
Horningsea Park,1143800.0
Hornsby,1756519.92
Hornsby Heights,1575029.8461538462
Horsfield Bay,1231250.0
Horsley Park,2377750.0
Hunters Hill,2405230.769230769
Huntleys Cove,1890000.0
Huntleys Point,2955000.0
Hurlstone Park,1877600.0
Hurstville,1818041.6666666667
Hurstville Grove,2072800.0
Illawong,1955479.1666666667
Ingleburn,923424.9069767442
Ingleside,2557667.25
Jamisontown,1187500.0
Jannali,1273075.0
Jordan Springs,834602.3076923077
Kangaroo Point,2753500.0
Kanwal,755856.2
Kareela,1540125.0
Kariong,793378.125
Kearns,1023750.5
Kellyville,1495480.49122807
Kellyville Ridge,1297431.8181818181
Kensington,2334300.0
Killara,3022416.6666666665
Killarney Heights,2127507.3
Killarney Vale,838406.976744186
Killcare,2112040.0
Killcare Heights,1848000.0
Kincumber,884213.8636363636
Kincumber South,1263333.3333333333
Kings Langley,1139814.8148148148
Kings Park,973857.1428571428
Kingsford,2150769.230769231
Kingsgrove,1821680.0
Kingswood,1137631.5789473683
Kirkham,1798750.0
Kirrawee,1441151.7857142857
Kirribilli,2520000.0
Kogarah,1558125.0
Kogarah Bay,2062888.888888889
Koolewong,1198500.0
Kurnell,1647277.7777777778
Kyeemagh,1626250.0
Kyle Bay,2029666.6666666667
La Perouse,1839000.0
Lake Haven,709000.0
Lake Munmorah,812809.5238095238
Lakemba,1340173.9130434783
Lalor Park,767184.2105263158
Lane Cove,1725311.111111111
Lane Cove North,1906416.6666666667
Lansvale,1151200.0
Lapstone,1342200.0
Leichhardt,1737158.536585366
Leonay,1272681.8181818181
Lethbridge Park,472153.3333333333
Leumeah,623704.5454545454
Lewisham,1777400.0
Liberty Grove,1175750.0
Lidcombe,1451454.5454545454
Lilli Pilli,2446111.111111111
Lilyfield,2066468.75
Lindfield,2364500.0
Linley Point,3450000.0
Little Bay,2209000.0
Liverpool,1128700.0
Loftus,1714250.0
Londonderry,1289166.6666666667
Long Jetty,1007621.6216216217
Long Point,1597500.0
Longueville,3682500.0
Lugarno,1950370.9677419355
Lurnea,1014157.8947368421
Macmasters Beach,1838161.2424242424
Macquarie Fields,691625.05
Macquarie Links,1184625.0
Macquarie Park,884100.2
Magenta,1387142.857142857
Malabar,2282529.411764706
Manly,2120671.052631579
Manly Vale,1984291.6666666667
Mannering Park,951396.551724138
Marayong,907973.6315789474
Maroubra,2178560.0
Marrickville,1747945.945945946
Marsden Park,843361.2307692308
Marsfield,1752833.7916666667
Mascot,1708200.0
Matraville,2095850.0
Mays Hill,1625000.0
Mcgraths Hill,1026000.0
Meadowbank,1387500.0
Melrose Park,1953090.9090909092
Menai,1371975.0
Merrylands,1683235.294117647
Merrylands West,1161000.0
Middle Cove,2132357.1428571427
Middleton Grange,1031800.0
Millers Point,1767666.6666666667
Milperra,1084090.9090909092
Milsons Point,1900000.0
Minchinbury,1015466.6666666666
Minto,1211636.3636363635
Miranda,1509012.8205128205
Mona Vale,2221578.947368421
Monterey,2105777.777777778
Moorebank,1142214.2857142857
Mortdale,1625909.0909090908
Mortlake,2211500.0
Mosman,2873461.5384615385
Mount Annan,889385.7142857143
Mount Colah,1447136.4090909092
Mount Druitt,830117.8571428572
Mount Kuring-Gai,1367937.5
Mount Lewis,1564666.6666666667
Mount Pritchard,1102842.105263158
Mount Riverview,1183223.2
Mount Vernon,2590000.0
Narara,799279.0697674418
Narellan,1265333.3333333333
Narellan Vale,763839.2413793104
Naremburn,2350428.5714285714
Narrabeen,2115692.3076923075
Narraweena,1901596.7741935484
Narwee,1249409.0909090908
Neutral Bay,2150966.0
Newington,1463071.4285714286
Newport,2013793.103448276
Newtown,1872703.0303030303
Niagara Park,846323.5294117647
Norah Head,1434888.888888889
Noraville,981968.75
Normanhurst,1874700.0
North Avoca,1733653.8461538462
North Balgowlah,2395005.0
North Bondi,3126000.0
North Curl Curl,2384307.6923076925
North Epping,2209556.8181818184
North Gosford,790000.0
North Manly,2384087.5
North Narrabeen,2068669.25
North Parramatta,1561437.5
North Rocks,1494250.0
North Ryde,2081236.8421052631
North Strathfield,1820178.5714285714
North Sydney,2518125.0
North Turramurra,2187777.777777778
North Willoughby,2062000.0
Northbridge,2404000.0
Northmead,1132353.448275862
Northwood,2983333.3333333335
Oakhurst,833227.2727272727
Oatlands,2022944.4
Oatley,2331795.4545454546
Old Guildford,1060000.0
Old Toongabbie,1386285.7142857143
Oran Park,853833.3333333334
Ourimbah,826500.0
Oxley Park,1199625.0
Oyster Bay,1664829.6
Paddington,2558913.793103448
Padstow,1272428.5714285714
Padstow Heights,1207346.1538461538
Pagewood,2130833.3333333335
Palm Beach,1802888.888888889
Panania,1112088.2352941176
Parklea,1207187.5
Parramatta,1301033.3333333333
Peakhurst,1490848.2142857143
Peakhurst Heights,1688692.3076923077
Pearl Beach,1974954.5454545454
Pemulwuy,1099393.4705882352
Pendle Hill,1294214.2857142857
Pennant Hills,1674111.111111111
Penrith,991073.6521739131
Penshurst,1704074.0740740742
Petersham,1485827.5862068965
Phegans Bay,1227857.142857143
Phillip Bay,1770583.3333333333
Picnic Point,1471548.3870967743
Pleasure Point,1218500.0
Plumpton,999545.4545454546
Point Clare,1242178.5714285714
Point Frederick,1942456.0869565217
Point Piper,1430000.0
Port Hacking,1885100.0
Potts Hill,1483916.6666666667
Potts Point,1984375.0
Prairiewood,1158800.0
Prestons,885442.125
Pretty Beach,1843571.4285714286
Prospect,892444.4444444445
Punchbowl,1238789.4736842106
Putney,2122909.090909091
Pymble,2838684.210526316
Pyrmont,1518262.9333333333
Quakers Hill,1030669.53125
Queens Park,3036666.6666666665
Queenscliff,1661800.0
Raby,866900.0
Ramsgate,1317500.0
Ramsgate Beach,1642777.7777777778
Randwick,2217384.6153846155
Redfern,1548178.5714285714
Regents Park,1187000.0
Regentville,1347042.857142857
Revesby,1152057.142857143
Revesby Heights,1527875.0
Rhodes,2302444.4444444445
Richmond,1243000.0
Riverstone,1056826.923076923
Riverview,2814171.6363636362
Riverwood,1026442.8571428572
Rockdale,1333660.0
Rodd Point,2547750.0
Rooty Hill,988571.4285714285
Ropes Crossing,777136.4545454546
Rose Bay,2182000.0
Rosebery,1770659.0909090908
Rosehill,1035000.0
Roselands,1231113.6363636365
Rosemeadow,604388.7777777778
Roseville,2638105.263157895
Roseville Chase,2418818.1818181816
Rouse Hill,1242706.896551724
Rozelle,1817484.8484848484
Ruse,612272.7272727273
Rushcutters Bay,2493666.6666666665
Russell Lea,2092100.0
Rydalmere,1520736.8421052631
Ryde,2029534.7826086956
Sadleir,1115000.0
San Remo,476468.75
Sandringham,2054694.4444444445
Sandy Point,1411000.0
Sans Souci,2022764.705882353
Saratoga,1307012.5
Schofields,1034216.2162162162
Scotland Island,1826375.0
Seaforth,2118333.3333333335
Sefton,1355444.4444444445
Seven Hills,1024280.0
Shelly Beach,1406466.6666666667
Silverwater,1402333.3333333333
Smithfield,996461.5384615385
South Coogee,2429318.1818181816
South Granville,1117500.0
South Hurstville,1838111.111111111
South Penrith,773092.9629629629
South Turramurra,1656111.111111111
South Wentworthville,1118307.9285714286
South Windsor,896736.8421052631
Spring Farm,835342.1052631579
Springfield,1002803.5714285715
Springwood,855944.4722222222
St Andrews,677800.0
